,AAPL US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMZN US Equity,,,,,,,,,SPX Index,,,,,,,,
Dates,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN
5/25/2022,140.36,23.1116,12.9584,4.5846,22.8117,1.67,5.9821,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.1,82.5245,26.6647,-2.2666,60.7231,1.964,2.2677,12.667,-3.3012,3941.48,#N/A N/A,#N/A N/A,4.72,19.9268,#N/A N/A,2.4681,#N/A N/A,12.75
5/26/2022,140.52,23.1116,12.9584,4.4807,23.3409,1.709,6.1208,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.775,82.5245,26.6647,-2.1788,63.17,2.07,2.3591,12.667,-3.3012,3978.73,#N/A N/A,#N/A N/A,4.63,20.3232,#N/A N/A,2.5172,#N/A N/A,12.75
5/27/2022,143.78,23.1116,12.9584,4.3052,24.2922,1.779,6.3703,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.078,82.5245,26.6647,-2.1018,65.484,2.146,2.4455,12.667,-3.3012,4057.84,#N/A N/A,#N/A N/A,4.52,20.8262,#N/A N/A,2.5795,#N/A N/A,12.75
5/30/2022,143.78,23.1116,12.9584,4.3052,24.2922,1.779,6.3703,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.078,82.5245,26.6647,-2.1018,65.484,2.146,2.4455,12.667,-3.3012,4057.84,#N/A N/A,#N/A N/A,4.52,20.8262,#N/A N/A,2.5795,#N/A N/A,12.75
5/31/2022,149.64,23.1116,12.9584,4.3284,24.1623,1.769,6.3362,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.146,82.5245,26.6647,-2.0133,68.3633,2.23,2.5531,12.667,-3.3012,4158.24,#N/A N/A,#N/A N/A,4.55,20.6945,#N/A N/A,2.561,#N/A N/A,12.73
6/1/2022,148.84,23.1116,12.9584,4.3322,24.1412,1.768,6.3307,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.21,82.5245,26.6647,-1.9889,69.2019,2.359,2.5844,12.667,-3.3012,4132.15,#N/A N/A,#N/A N/A,4.58,20.5396,#N/A N/A,2.5418,#N/A N/A,12.73
6/2/2022,148.71,23.1116,12.9584,4.2605,24.5471,1.798,6.4371,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.684,82.5245,26.6647,-1.9282,71.3783,2.433,2.6657,12.667,-3.3012,4101.23,#N/A N/A,#N/A N/A,4.5,20.9085,#N/A N/A,2.5884,#N/A N/A,12.74
6/3/2022,151.21,23.1116,12.9584,4.4314,23.6006,1.728,6.189,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.511,82.5245,26.6647,-1.978,69.5806,3.138,2.5985,12.667,-3.3012,4176.82,#N/A N/A,#N/A N/A,4.57,20.5645,#N/A N/A,2.5459,#N/A N/A,12.74
6/6/2022,145.38,23.1116,12.9584,4.4083,23.724,1.738,6.2213,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.35,82.5245,26.6647,-1.9394,70.9683,3.126,2.6504,12.667,-3.3012,4108.54,#N/A N/A,#N/A N/A,4.56,20.6293,#N/A N/A,2.5539,#N/A N/A,12.74
6/7/2022,146.14,23.1116,12.9584,4.3322,24.1412,1.765,6.3307,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.79,82.5245,26.6647,-1.9676,69.9503,3.081,2.6123,12.667,-3.3012,4121.43,#N/A N/A,#N/A N/A,4.51,20.8265,#N/A N/A,2.5784,#N/A N/A,12.74
6/8/2022,148.71,23.1116,12.9584,4.3541,24.0195,1.756,6.2988,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,82.5245,26.6647,-1.9971,68.9153,5.21,2.5737,12.667,-3.3012,4160.68,#N/A N/A,#N/A N/A,4.56,20.5944,#N/A N/A,2.5512,#N/A N/A,12.75
6/9/2022,147.96,23.1116,12.9584,4.5165,23.1558,1.693,6.0723,33.6314,25.7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.18,82.5245,26.6647,-2.0836,66.0547,4.993,2.4669,12.667,-3.3012,4115.77,#N/A N/A,#N/A N/A,4.68,20.1041,#N/A N/A,2.4904,#N/A N/A,12.75
