,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index
,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11
Dates,PX_OPEN,PX_OFFICIAL_CLOSE,PE_RATIO,EV_EBITDA_ADJUSTED,SALES_GROWTH,CUR_MKT_CAP,PX_VOLUME,FREE_CASH_FLOW_YIELD,PROF_MARGIN,EBITDA_TO_REVENUE,BEST_PX_SALES_RATIO,PX_OPEN,PX_OFFICIAL_CLOSE,PE_RATIO,EV_EBITDA_ADJUSTED,SALES_GROWTH,CUR_MKT_CAP,PX_VOLUME,FREE_CASH_FLOW_YIELD,PROF_MARGIN,EBITDA_TO_REVENUE,BEST_PX_SALES_RATIO,PX_OPEN,PX_OFFICIAL_CLOSE,PE_RATIO,EV_EBITDA_ADJUSTED,SALES_GROWTH,CUR_MKT_CAP,PX_VOLUME,FREE_CASH_FLOW_YIELD,PROF_MARGIN,EBITDA_TO_REVENUE,BEST_PX_SALES_RATIO,PX_OPEN,PX_OFFICIAL_CLOSE,PE_RATIO,EV_EBITDA_ADJUSTED,SALES_GROWTH,CUR_MKT_CAP,PX_VOLUME,FREE_CASH_FLOW_YIELD,PROF_MARGIN,EBITDA_TO_REVENUE,BEST_PX_SALES_RATIO,PX_OPEN,PX_OFFICIAL_CLOSE,PE_RATIO,EV_EBITDA_ADJUSTED,SALES_GROWTH,CUR_MKT_CAP,PX_VOLUME,FREE_CASH_FLOW_YIELD,PROF_MARGIN,EBITDA_TO_REVENUE,BEST_PX_SALES_RATIO,PX_OPEN,PX_OFFICIAL_CLOSE,PE_RATIO,EV_EBITDA_ADJUSTED,SALES_GROWTH,CUR_MKT_CAP,PX_VOLUME,FREE_CASH_FLOW_YIELD,PROF_MARGIN,EBITDA_TO_REVENUE,BEST_PX_SALES_RATIO
6/13/12,27.65,#N/A N/A,64.2955,#N/A N/A,44.7332,67288.9512,16854124,1.9796,12.949,46.4083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.1399,182253.9382,#N/A N/A,#N/A N/A,27.1489,36.6369,#N/A N/A,10.763,#N/A N/A,177.2314,41.263,33.7628,96615.1962,61219460,1.1694,0.986,4.9223,#N/A N/A,8.97,#N/A N/A,21.0268,18.2314,21.0476,3478.6074,26168576,3.196,-0.527,1.0803,#N/A N/A,2.012,#N/A N/A,#N/A N/A,#N/A N/A,-38.4724,3092.2513,13082415,-12.112,-297.9183,-280.4389,#N/A N/A,1314.88,#N/A N/A,14.0236,#N/A N/A,#N/A N/A,12314202.22,616595829,8.85,8.79,#N/A N/A,1.196
6/14/12,28.505,#N/A N/A,68.2136,#N/A N/A,44.7332,71389.5575,43563739,1.8659,12.949,46.4083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.1399,184033.9338,#N/A N/A,#N/A N/A,27.1489,36.6369,#N/A N/A,10.765,#N/A N/A,180.4545,41.263,33.7628,98372.2457,75760100,1.1486,0.986,4.9223,#N/A N/A,9.039,#N/A N/A,22.0772,18.2314,21.0476,3652.3712,33069505,3.044,-0.527,1.0803,#N/A N/A,1.959,#N/A N/A,#N/A N/A,#N/A N/A,-38.4724,3146.9627,9701055,-11.9014,-297.9183,-280.4389,#N/A N/A,1329.19,#N/A N/A,14.1682,#N/A N/A,#N/A N/A,12442346.26,1149111507,8.76,8.79,#N/A N/A,1.2082
6/15/12,29.955,#N/A N/A,71.3864,#N/A N/A,44.7332,74710.0021,42978209,1.783,12.949,46.4083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.1399,186100.815,#N/A N/A,#N/A N/A,27.1489,36.6369,#N/A N/A,10.864,#N/A N/A,184.0165,41.263,33.7628,100314.0107,67428920,1.1263,0.986,4.9223,#N/A N/A,9.294,#N/A N/A,22.3926,18.2314,21.0476,3704.5559,23015118,3.0011,-0.527,1.0803,#N/A N/A,1.996,#N/A N/A,#N/A N/A,#N/A N/A,-38.4724,3350.0265,18851940,-11.18,-297.9183,-280.4389,#N/A N/A,1342.42,#N/A N/A,14.2211,#N/A N/A,#N/A N/A,12461042.36,548918363,8.73,8.81,#N/A N/A,1.2211
6/18/12,31.535,#N/A N/A,72.525,#N/A N/A,44.7332,75901.6516,30848913,1.755,12.949,46.4083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.1399,189582.5645,#N/A N/A,#N/A N/A,27.1489,36.6369,#N/A N/A,11.163,#N/A N/A,185.1488,41.263,33.7628,100931.2306,54336380,1.1194,0.986,4.9223,#N/A N/A,9.557,#N/A N/A,23.4329,18.2314,21.0476,3876.6542,27708604,2.8679,-0.527,1.0803,#N/A N/A,2.135,#N/A N/A,#N/A N/A,#N/A N/A,-38.4724,3376.3301,13665435,-11.0929,-297.9183,-280.4389,#N/A N/A,1344.83,#N/A N/A,14.3611,#N/A N/A,#N/A N/A,12584112.27,594853935,8.65,8.81,#N/A N/A,1.2336
6/19/12,31.92,#N/A N/A,71.8182,#N/A N/A,44.7332,75161.925,15558921,1.7723,12.949,46.4083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.1399,188272.0184,#N/A N/A,#N/A N/A,27.1489,36.6369,#N/A N/A,11.226,#N/A N/A,184.314,41.263,33.7628,100476.1998,48915480,1.1245,0.986,4.9223,#N/A N/A,9.926,#N/A N/A,22.8721,18.2314,21.0476,3783.8877,26650442,2.9382,-0.527,1.0803,#N/A N/A,2.233,#N/A N/A,#N/A N/A,#N/A N/A,-38.4724,3554.1425,51335130,-10.5379,-297.9183,-280.4389,#N/A N/A,1358.04,#N/A N/A,14.3368,#N/A N/A,#N/A N/A,12565415.86,582090943,8.66,8.81,#N/A N/A,1.2314
6/20/12,31.67,#N/A N/A,72.3636,#N/A N/A,44.7332,75732.7751,21875228,1.7589,12.949,46.4083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.1399,184262.1383,#N/A N/A,#N/A N/A,27.1489,36.6369,#N/A N/A,11.192,#N/A N/A,182.2934,41.263,33.7628,99374.665,56862600,1.137,0.986,4.9223,#N/A N/A,9.751,#N/A N/A,22.094,18.2314,21.0476,3655.147,17695419,3.0417,-0.527,1.0803,#N/A N/A,2.284,#N/A N/A,#N/A N/A,#N/A N/A,-38.4724,3386.8516,28378425,-11.0585,-297.9183,-280.4389,#N/A N/A,1355.43,#N/A N/A,14.0177,#N/A N/A,#N/A N/A,12286205.66,687558953,8.86,8.81,#N/A N/A,1.2041
6/21/12,32.41,#N/A N/A,75.1136,#N/A N/A,44.7332,78610.8108,74833976,1.6945,12.949,46.4083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.1399,186306.1991,#N/A N/A,#N/A N/A,27.1489,36.6369,#N/A N/A,11.092,#N/A N/A,183.6033,41.263,33.7628,100088.7479,43761260,1.1289,0.986,4.9223,#N/A N/A,9.463,#N/A N/A,22.7718,18.2314,21.0476,3767.2885,18074119,2.9511,-0.527,1.0803,#N/A N/A,2.173,#N/A N/A,#N/A N/A,#N/A N/A,-38.4724,3554.6685,45711780,-10.5364,-297.9183,-280.4389,#N/A N/A,1325.92,#N/A N/A,14.1189,#N/A N/A,#N/A N/A,12372737.37,937475276,8.8,8.81,#N/A N/A,1.2129
6/22/12,32.86,#N/A N/A,72.8636,#N/A N/A,44.7332,76256.0543,24352818,1.7469,12.949,46.4083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.1399,182791.849,#N/A N/A,#N/A N/A,27.1489,36.6369,#N/A N/A,11.015,#N/A N/A,181.876,41.263,33.7628,99147.1496,47645300,1.1396,0.986,4.9223,#N/A N/A,9.687,#N/A N/A,22.4933,18.2314,21.0476,3721.2106,30751035,2.9877,-0.527,1.0803,#N/A N/A,2.263,#N/A N/A,#N/A N/A,#N/A N/A,-38.4724,3483.6488,22547790,-10.7512,-297.9183,-280.4389,#N/A N/A,1334.9,#N/A N/A,13.8916,#N/A N/A,#N/A N/A,12177158.1,605834900,8.94,8.81,#N/A N/A,1.1937
6/25/12,32.69,#N/A N/A,75.2273,#N/A N/A,44.7332,78729.7379,24858611,1.692,12.949,46.4083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.1399,184089.3549,#N/A N/A,#N/A N/A,27.1489,36.6369,#N/A N/A,11.073,#N/A N/A,186.4545,41.263,33.7628,101643.0609,75100680,1.1116,0.986,4.9223,#N/A N/A,9.601,#N/A N/A,22.4161,18.2314,21.0476,3708.442,15630062,2.998,-0.527,1.0803,#N/A N/A,2.137,#N/A N/A,#N/A N/A,#N/A N/A,-38.4724,3325.8272,39207735,-11.2614,-297.9183,-280.4389,#N/A N/A,1314.09,#N/A N/A,13.9578,#N/A N/A,#N/A N/A,12233078.93,557936483,8.9,8.81,#N/A N/A,1.1996
6/26/12,32.46,#N/A N/A,73.25,#N/A N/A,44.7332,76660.4064,28599506,1.7376,12.949,46.4083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.1399,185595.5049,#N/A N/A,#N/A N/A,27.1489,36.6369,#N/A N/A,11.25,#N/A N/A,186.4628,41.263,33.7628,101647.5662,55991600,1.1115,0.986,4.9223,#N/A N/A,9.576,#N/A N/A,22.3121,18.2314,21.0476,3691.2321,15393392,3.0119,-0.527,1.0803,#N/A N/A,2.127,#N/A N/A,#N/A N/A,#N/A N/A,-38.4724,3362.6523,15707910,-11.138,-297.9183,-280.4389,#N/A N/A,1320.71,#N/A N/A,14.0828,#N/A N/A,#N/A N/A,12339527.04,508537809,8.82,8.81,#N/A N/A,1.2105
6/27/12,31.96,#N/A N/A,71.2727,#N/A N/A,44.7332,74591.075,17713292,1.7858,12.949,46.4083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.1399,183968.7325,#N/A N/A,#N/A N/A,27.1489,36.6369,#N/A N/A,11.196,#N/A N/A,182.9008,41.263,33.7628,99705.8012,59906760,1.1332,0.986,4.9223,#N/A N/A,9.443,#N/A N/A,22.604,18.2314,21.0476,3739.5307,15151934,2.973,-0.527,1.0803,#N/A N/A,2.127,#N/A N/A,#N/A N/A,#N/A N/A,-38.4724,3304.7843,13710600,-11.3331,-297.9183,-280.4389,#N/A N/A,1331.52,#N/A N/A,13.9757,#N/A N/A,#N/A N/A,12312356.23,701561356,8.89,8.8,#N/A N/A,1.2015
6/28/12,31.92,#N/A N/A,124.38,#N/A N/A,44.7332,73960.7613,19526823,1.5124,12.949,46.4083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.1399,189106.595,#N/A N/A,#N/A N/A,27.1489,36.6369,#N/A N/A,11.235,#N/A N/A,239.8834,41.263,33.7628,102877.5008,72311440,1.0467,0.986,4.9223,#N/A N/A,9.757,#N/A N/A,37.4235,18.2314,21.0476,3801.9857,19992126,-0.0744,-0.527,1.0803,#N/A N/A,2.187,#N/A N/A,#N/A N/A,#N/A N/A,-38.4724,3292.1586,16885560,-12.5786,-297.9183,-280.4389,#N/A N/A,1330.12,#N/A N/A,14.3066,#N/A N/A,#N/A N/A,12622292.03,862205984,8.69,8.8,#N/A N/A,1.2314
6/29/12,31.25,#N/A N/A,123.084,54.4552,32.2905,73190.1138,14131476,1.5284,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,189236.9976,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,11.465,#N/A N/A,240.9023,42.4015,29.4664,103314.5106,46618600,1.0423,0.0545,4.6127,#N/A N/A,9.824,#N/A N/A,37.0765,14.5625,12.7507,3766.7333,13003228,-0.0751,0.6932,3.0592,#N/A N/A,2.09,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3198.5178,19733010,-12.9468,-396.2143,-382.047,#N/A N/A,1362.33,#N/A N/A,14.1649,#N/A N/A,#N/A N/A,12645093.14,550391112,8.21,8.77,#N/A N/A,1.2354
7/2/12,30.91,#N/A N/A,124.8,54.4552,32.2905,74210.5083,8765498,1.5073,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,191636.4055,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,11.457,#N/A N/A,241.123,42.4015,29.4664,103409.1209,26719040,1.0414,0.0545,4.6127,#N/A N/A,9.784,#N/A N/A,39.3661,14.5625,12.7507,3999.3437,25261159,-0.0707,0.6932,3.0592,#N/A N/A,2.04,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3225.8735,14206920,-12.8371,-396.2143,-382.047,#N/A N/A,1365.75,#N/A N/A,14.2524,#N/A N/A,#N/A N/A,12744532.89,340459605,8.16,8.77,#N/A N/A,1.2426
7/3/12,30.91,#N/A N/A,124.8,54.4552,32.2905,74210.5083,8765498,1.5073,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,191636.4055,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,11.457,#N/A N/A,241.123,42.4015,29.4664,103409.1209,26719040,1.0414,0.0545,4.6127,#N/A N/A,9.784,#N/A N/A,39.3661,14.5625,12.7507,3999.3437,25261159,-0.0707,0.6932,3.0592,#N/A N/A,2.04,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3225.8735,14206920,-12.8371,-396.2143,-382.047,#N/A N/A,1365.75,#N/A N/A,14.2524,#N/A N/A,#N/A N/A,12744532.89,340459605,8.16,8.77,#N/A N/A,1.2426
7/4/12,31.32,#N/A N/A,125.88,54.4552,32.2905,74852.7146,10036688,1.4944,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,194273.7982,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,11.431,#N/A N/A,238.5282,42.4015,29.4664,102296.3229,53672200,1.0527,0.0545,4.6127,#N/A N/A,10.619,#N/A N/A,44.6557,14.5625,12.7507,4536.7347,104497764,-0.0624,0.6932,3.0592,#N/A N/A,2.054,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3285.8458,18807990,-12.6028,-396.2143,-382.047,#N/A N/A,1373.72,#N/A N/A,14.186,#N/A N/A,#N/A N/A,12686193.58,499612001,8.2,8.77,#N/A N/A,1.237
7/5/12,31.44,#N/A N/A,126.92,54.4552,32.2905,75471.1355,10949006,1.4822,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,191033.2935,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,11.317,#N/A N/A,236.4167,42.4015,29.4664,101390.7666,64064600,1.0621,0.0545,4.6127,#N/A N/A,11.963,#N/A N/A,44.7486,14.5625,12.7507,4546.1723,85301685,-0.0622,0.6932,3.0592,#N/A N/A,2.066,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3260.5943,11769915,-12.7004,-396.2143,-382.047,#N/A N/A,1367.09,#N/A N/A,14.0521,#N/A N/A,#N/A N/A,12567568.41,483174475,8.28,8.77,#N/A N/A,1.226
7/6/12,32.1,#N/A N/A,128.68,54.4552,32.2905,76517.6939,17785180,1.4619,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,191043.0737,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,11.25,#N/A N/A,236.4167,42.4015,29.4664,101390.7666,38439580,1.0621,0.0545,4.6127,#N/A N/A,11.854,#N/A N/A,45.3497,14.5625,12.7507,4607.2395,43278900,-0.0614,0.6932,3.0592,#N/A N/A,2.063,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3313.2015,13656135,-12.4987,-396.2143,-382.047,#N/A N/A,1354.66,#N/A N/A,14.0289,#N/A N/A,#N/A N/A,12546123,496238941,8.29,8.77,#N/A N/A,1.2285
7/9/12,32.43,#N/A N/A,125.88,54.4552,32.2905,74852.7146,14276996,1.4944,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,189637.9856,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,11.313,#N/A N/A,230.5864,42.4015,29.4664,98890.35,59662180,1.089,0.0545,4.6127,#N/A N/A,11.96,#N/A N/A,43.8415,14.5625,12.7507,4454.0165,35250334,-0.0635,0.6932,3.0592,#N/A N/A,2.103,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3290.0543,11375280,-12.5866,-396.2143,-382.047,#N/A N/A,1352.96,#N/A N/A,13.9148,#N/A N/A,#N/A N/A,12445998.95,568883923,8.36,8.77,#N/A N/A,1.2185
7/10/12,31.48,#N/A N/A,123.88,54.4552,32.2905,73663.4436,13027752,1.5185,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,186211.6572,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,10.948,#N/A N/A,229.3993,42.4015,29.4664,98381.2562,54696960,1.0946,0.0545,4.6127,#N/A N/A,11.443,#N/A N/A,44.612,14.5625,12.7507,4532.2934,43049559,-0.0624,0.6932,3.0592,#N/A N/A,2.105,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3315.3058,9577740,-12.4908,-396.2143,-382.047,#N/A N/A,1341.4,#N/A N/A,13.915,#N/A N/A,#N/A N/A,12444697.08,606265402,8.36,8.77,#N/A N/A,1.2235
7/11/12,30.7,#N/A N/A,123.24,54.4552,32.2905,73282.8769,11306636,1.5264,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,185980.1926,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,10.831,#N/A N/A,226.2373,42.4015,29.4664,97025.1744,52342800,1.1099,0.0545,4.6127,#N/A N/A,11.646,#N/A N/A,46.4317,14.5625,12.7507,4717.1604,41493788,-0.06,0.6932,3.0592,#N/A N/A,2.086,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3440.5109,16885050,-12.0362,-396.2143,-382.047,#N/A N/A,1341.29,#N/A N/A,13.8451,#N/A N/A,#N/A N/A,12382327.89,611763808,8.4,8.77,#N/A N/A,1.2175
7/12/12,31.04,#N/A N/A,122.88,54.4552,32.2905,73068.8081,8117346,1.5309,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,187949.2719,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,10.782,#N/A N/A,229.4203,42.4015,29.4664,98390.2667,44446580,1.0945,0.0545,4.6127,#N/A N/A,12.254,#N/A N/A,46.3934,14.5625,12.7507,4713.2743,39052650,-0.06,0.6932,3.0592,#N/A N/A,2.198,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3603.5932,19573680,-11.4915,-396.2143,-382.047,#N/A N/A,1334.81,#N/A N/A,14.0733,#N/A N/A,#N/A N/A,12587840.33,530837257,8.27,8.77,#N/A N/A,1.24
7/13/12,30.5,#N/A N/A,112.98,54.4552,32.2905,67181.9168,24672074,1.665,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,187427.6615,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,10.83,#N/A N/A,226.9201,42.4015,29.4664,97318.016,40086900,1.1065,0.0545,4.6127,#N/A N/A,12.159,#N/A N/A,45.3443,14.5625,12.7507,4606.6843,20950384,-0.0614,0.6932,3.0592,#N/A N/A,2.288,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3783.5099,26158620,-10.9451,-396.2143,-382.047,#N/A N/A,1356.5,#N/A N/A,14.0412,#N/A N/A,#N/A N/A,12557079.86,471627028,8.28,8.77,#N/A N/A,1.2386
7/16/12,28.48,#N/A N/A,112.36,54.4552,32.2905,66813.2428,30438551,1.6742,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,188017.7333,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,10.872,#N/A N/A,227.8866,42.4015,29.4664,97732.4995,39745340,1.1019,0.0545,4.6127,#N/A N/A,11.893,#N/A N/A,44.6885,14.5625,12.7507,4540.0656,27821885,-0.0623,0.6932,3.0592,#N/A N/A,2.333,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3508.9003,38541945,-11.8016,-396.2143,-382.047,#N/A N/A,1353.68,#N/A N/A,14.1453,#N/A N/A,#N/A N/A,12649436.59,577939420,8.22,8.77,#N/A N/A,1.2471
7/17/12,28.31,#N/A N/A,116.44,54.4552,32.2905,69239.3556,16841779,1.6156,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,189331.5395,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,10.808,#N/A N/A,228.4538,42.4015,29.4664,97975.7832,41946380,1.0991,0.0545,4.6127,#N/A N/A,11.607,#N/A N/A,44.4098,14.5625,12.7507,4511.7527,21581028,-0.0627,0.6932,3.0592,#N/A N/A,2.095,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3382.643,43231260,-12.2421,-396.2143,-382.047,#N/A N/A,1363.58,#N/A N/A,14.3205,#N/A N/A,#N/A N/A,12732263.58,589123794,8.12,8.77,#N/A N/A,1.2629
7/18/12,29.41,#N/A N/A,116,54.4552,32.2905,68977.716,13685031,1.6217,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,193341.4196,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,11.037,#N/A N/A,237.5932,42.4015,29.4664,101895.3552,109027040,1.0568,0.0545,4.6127,#N/A N/A,11.709,#N/A N/A,45.4208,14.5625,12.7507,4614.4565,29132775,-0.0613,0.6932,3.0592,#N/A N/A,2.181,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3395.2687,21538170,-12.1966,-396.2143,-382.047,#N/A N/A,1373.01,#N/A N/A,14.36,#N/A N/A,#N/A N/A,12763856.38,643162935,8.1,8.77,#N/A N/A,1.2677
7/19/12,29,#N/A N/A,115.04,54.4552,32.2905,68406.8659,11869046,1.6352,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,199131.2951,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,11.268,#N/A N/A,239.8203,42.4015,29.4664,102850.4693,83417660,1.047,0.0545,4.6127,#N/A N/A,11.809,#N/A N/A,44.7104,14.5625,12.7507,4542.2863,24373433,-0.0623,0.6932,3.0592,#N/A N/A,2.138,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3344.7658,23526990,-12.3808,-396.2143,-382.047,#N/A N/A,1376.51,#N/A N/A,14.2159,#N/A N/A,#N/A N/A,12635359.75,863626746,8.18,8.77,#N/A N/A,1.2549
7/20/12,28.12,#N/A N/A,115,54.4552,32.2905,68383.0805,12393864,1.6358,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,200660.2657,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,11.236,#N/A N/A,237.4252,42.4015,29.4664,101823.2711,110338180,1.0576,0.0545,4.6127,#N/A N/A,11.533,#N/A N/A,43.6831,14.5625,12.7507,4437.9169,30994586,-0.0637,0.6932,3.0592,#N/A N/A,2.07,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3225.8735,20801145,-12.8371,-396.2143,-382.047,#N/A N/A,1362.34,#N/A N/A,14.089,#N/A N/A,#N/A N/A,12522178.13,602347070,8.26,8.77,#N/A N/A,1.2438
7/23/12,28.82,#N/A N/A,113.8,54.4552,32.2905,67669.5179,11539799,1.653,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,198071.774,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,11.314,#N/A N/A,234.3052,42.4015,29.4664,100485.2104,100341980,1.0717,0.0545,4.6127,#N/A N/A,11.581,#N/A N/A,43.929,14.5625,12.7507,4464.4025,64699957,-0.0634,0.6932,3.0592,#N/A N/A,2.044,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3139.5977,22510140,-13.1898,-396.2143,-382.047,#N/A N/A,1350.52,#N/A N/A,13.9619,#N/A N/A,#N/A N/A,12408019.39,632833439,8.33,8.77,#N/A N/A,1.2335
7/24/12,28.39,#N/A N/A,117.36,54.4552,32.2905,69786.4203,17230154,1.6029,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,199431.8387,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,11.1,#N/A N/A,228.0126,42.4015,29.4664,97786.5625,72962540,1.1012,0.0545,4.6127,#N/A N/A,9.173,#N/A N/A,32.9399,14.5625,12.7507,3347.6077,173469989,-0.0845,0.6932,3.0592,#N/A N/A,1.995,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,3045.9569,42660975,-13.5953,-396.2143,-382.047,#N/A N/A,1338.35,#N/A N/A,13.9572,#N/A N/A,#N/A N/A,12402270.36,653733649,8.33,8.77,#N/A N/A,1.2337
7/25/12,27.75,#N/A N/A,107.38,54.4552,32.2905,63851.9581,64597378,1.7519,-13.2601,-51.0135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.811,201193.2969,#N/A N/A,#N/A N/A,23.5877,33.0905,#N/A N/A,11,#N/A N/A,231.1221,42.4015,29.4664,99120.118,138746740,1.0864,0.0545,4.6127,#N/A N/A,8.474,#N/A N/A,31.153,14.5625,12.7507,3166.0105,79781667,-0.0894,0.6932,3.0592,#N/A N/A,1.993,#N/A N/A,#N/A N/A,#N/A N/A,-54.1816,2959.6811,33945075,-13.9916,-396.2143,-382.047,#N/A N/A,1338.17,#N/A N/A,14.1871,#N/A N/A,#N/A N/A,12607834.56,714242024,8.2,8.77,#N/A N/A,1.2593
